t.statistic	df	p_value	cor_estimate	ci_95_low	ci_95_high	sample_id
2264.5102605971	58633	0	0.994331623899709	0.994239380192897	0.994422394656815	N_1144_10
6061.43752260722	58633	0	0.999203030991344	0.999190029405997	0.999215823958111	M_1231_11
2681.1197498165	58633	0	0.995946475526337	0.995880456650395	0.99601143851292	M_1291_12
3307.47596697271	58633	0	0.997330824065038	0.997287321131252	0.997373630264431	N_618_14
3812.25224203452	58633	0	0.997988883640652	0.99795609496017	0.998021146840386	M_618_15
3789.37922939884	58633	0	0.997964606129214	0.997931422044751	0.997997258408905	P_655_16
5748.68126152031	58633	0	0.999114072399308	0.999099620215737	0.999128292709021	N_655_17
3217.65742931565	58633	0	0.997180366533944	0.997134414921795	0.997225582304288	M_655_18
6623.11870566025	58633	0	0.999332345263145	0.999321452567702	0.999343063156029	N_liver_655_19
2917.86314829516	58633	0	0.99657432479853	0.99651851373145	0.996629242679175	M_442_2
2703.27612587175	58633	0	0.996012254275419	0.995947304548445	0.996076165144675	M_656_20
8082.76864946143	58633	0	0.999551564880121	0.999544247907377	0.999558764406831	P_761_21
7042.81156384912	58633	0	0.999409479253124	0.999399844610393	0.999418959270292	N_761_22
11439.8585978426	58633	0	0.999776063489438	0.999772409171925	0.999779659137781	P_622_23
6087.40874016359	58633	0	0.999209808794015	0.999196917735903	0.999222493005633	M_622_24
6056.93384485296	58633	0	0.999201846785458	0.999188825889063	0.99921465875366	M_622_25
8194.68138627295	58633	0	0.999563721619293	0.999556602960197	0.999570726014144	M_663_26
2806.64059217294	58633	0	0.996298972659977	0.996238684009704	0.996358296730139	M_705_27
5990.34862591365	58633	0	0.999184026393401	0.999170714899632	0.999197124299944	N_liver_705_28
8975.98687323906	58633	0	0.9996363272667	0.99963039307912	0.999642166195565	P_722_29
14383.9169073067	58633	0	0.999858334044818	0.999856022166218	0.999860608803744	N_442_3
6123.60576037937	58633	0	0.999219112017327	0.999206372670324	0.999231646950264	N_722_30
6660.61076664367	58633	0	0.999339833041555	0.999329062467194	0.999350430771832	N_liver_722_31
1494.63649700699	58633	0	0.987129569121916	0.986920892180149	0.987334937849192	M_722_37
3118.72405031035	58633	0	0.996999455219704	0.996950559794645	0.997047567803402	P_684_4
5595.76526417878	58633	0	0.999065059974544	0.999049808628736	0.999080066636475	M_684_5
3510.85619637088	58633	0	0.997630045477627	0.997591413452455	0.997668058595773	N_684_6
3559.57023106032	58633	0	0.997694246374579	0.997656659644246	0.997731230905663	N_819_7
5443.78654770039	58633	0	0.999012206684034	0.998996093594176	0.999028061278254	P_819_8
7761.13663650654	58633	0	0.999513654898523	0.999505719513614	0.999521462915946	M_1144_9
